GS,Trial,Center_X,Center_Y,Beach_X,Beach_Y,AngleBeach,Date,Weather,Temp,hour,minutes,Dig,Dist_Actual,Dist_StrtLine,Sinuosity,Time,FinalPosition,HeadingMean,StartHeading,Velocity,Start_X,Start_Y,Start_X.T,Start_Y.T,StartLocation,End_X,End_Y,Latency,Animal,Dist_Diff,TOD,Smoky,Year,Latency2,GS.Trial,FinalPosition.Pan,FinalPosition.L,StartHeading.L
5,28,1938.115439,1064.567707,2793.184484,557.908171,-0.534913486549663,2021-08-14,Cloudy,64,10,22,Magdalena,23.6174439534716,10.581818530979547,0.44805096401738653,4.633333333333334,-0.795283158284725,-0.904857047506859,-0.738484201124584,5.0972900619003445,2068.075147,869.423527,211.283979349825,-101.635902915359,-0.448364337982493,2163.315924,146.702247,0.1,3,13.035625422492053,10:22:00,Smoky,2021,-2.0149030205422647,5.28,-1.3301966448343876,1.1442294418028256,0.9882578511776501
5,28,1938.115439,1064.567707,2793.184484,557.908171,-0.534913486549663,2021-08-14,Cloudy,64,10,22,Magdalena,7.721877546279898,6.988747465490611,0.9050580540295566,0.5333333333333333,3.26247165721727,2.86205484117537,0.233095280382787,14.478520399274808,1700.033503,964.199849,-153.660738316958,-207.713968401028,-2.20771856986618,1369.631996,1314.379951,0.36666666666666664,4,0.7331300807892864,10:22:00,Smoky,2021,-0.9162907318741551,5.28,2.7275581706676055,2.9135253736991675,0.016678369670279025
5,28,1938.115439,1064.567707,2793.184484,557.908171,-0.534913486549663,2021-08-14,Cloudy,64,10,22,Magdalena,8.507699673547668,7.951986561574627,0.9346811555065964,0.9,-1.75868087423367,-1.54586449538561,-1.05685682537979,9.452999637275186,1704.187524,974.267146,-155.218953043549,-196.935363379019,-2.23828339031733,1436.771081,496.169728,3.1666666666666665,5,0.5557131119730414,10:22:00,Smoky,2021,1.1631508098056809,5.28,-2.293594360783332,2.10762715775177,1.3066304754328586
5,101,2120.225533,1031.77042,2434.32539,121.518705,-1.23852091238754,2023-07-19,Sunny,65,9,21,Magdalena,25.904508040984762,12.00702628844085,0.4635110718738205,8.466666666666667,0.815490115218984,1.06806317585845,-0.751318552205749,3.059587563895838,2131.531294,799.996132,222.784709207652,-64.9162087075168,-0.283534862261287,2946.694283,659.683689,0,1,13.897481752543912,09:21:00,Not Smoky,2023,-3.4011973816621555,5.101,-0.42303079716855396,0.466543831700883,1.0010922022588158
5,101,2120.225533,1031.77042,2434.32539,121.518705,-1.23852091238754,2023-07-19,Sunny,65,9,21,Magdalena,8.74488284526639,7.325797809170215,0.8377239511145278,3.033333333333333,0.857037872941847,1.06194122343721,1.1877508060469,2.8829284105273816,2325.447514,838.809893,249.348429108645,131.054139067536,0.483906573857065,2822.266166,750.158494,1.2666666666666666,2,1.4190850360961758,09:21:00,Not Smoky,2023,0.26236426446749106,5.101,-0.3814830394456902,0.5080915894237465,0.9379771559938375
5,101,2120.225533,1031.77042,2434.32539,121.518705,-1.23852091238754,2023-07-19,Sunny,65,9,21,Magdalena,21.406828471197045,9.570404095274476,0.4470724894232457,7,1.27317629024016,1.38947228444321,0.628210194870566,3.0581183530281493,2318.020558,962.08127,130.397045875616,164.243903903267,0.899771749356161,2969.817868,1061.225156,1.3,3,11.836424375922569,09:21:00,Not Smoky,2023,0.287682072451781,5.101,0.034655377852626255,0.9242300067220626,0.37843654481749933
5,101,2120.225533,1031.77042,2434.32539,121.518705,-1.23852091238754,2023-07-19,Sunny,65,9,21,Magdalena,10.788462655633852,7.012195835187797,0.6499717391639626,4.4,0.829822775385877,0.568868180052723,-0.98646746063629,2.4519233308258754,2384.584009,1053.09851,66.0708689539835,256.855857499408,1.31902521482485,2763.322917,753.255047,0.7333333333333333,4,3.7762668204460548,09:21:00,Not Smoky,2023,-0.2657031657330058,5.101,-0.4086981370016608,0.48087649186777615,1.236241110689356
5,101,2120.225533,1031.77042,2434.32539,121.518705,-1.23852091238754,2023-07-19,Sunny,65,9,21,Magdalena,34.82129173686789,15.556448039551082,0.44675103258964727,7.833333333333333,1.06264802967297,0.939077475099637,1.53929532889536,4.445271285557603,1968.632169,1192.869081,-201.735948125983,-90.7520458091171,-2.71885881783403,2992.610309,876.739858,0.4666666666666667,5,19.26484369731681,09:21:00,Not Smoky,2023,-0.6931471805599453,5.101,-0.17587288271457113,0.7137017461548654,1.2895216788422896
5,104,2031.647565,1055.480813,1591.368165,161.522929,-2.02843058351553,2023-07-20,Sunny,77,13,0,Magdalena,20.158228926468354,10.69183627234931,0.5303956171621114,4.433333333333334,-0.450914891130243,-0.282313473998862,-0.684518338476337,4.546968930782335,1786.848427,1021.333455,138.792481279273,-204.522143457049,-0.974565052485771,1290.230959,477.389424,0,1,9.466392654119044,13:00:00,Not Smoky,2023,-3.4011973816621555,5.104,-2.479345474645769,0.7998611746483446,0.9342919885294032
5,104,2031.647565,1055.480813,1591.368165,161.522929,-2.02843058351553,2023-07-20,Sunny,77,13,0,Magdalena,26.926483484077732,9.588220596861662,0.35608885217155833,8,0.605390981823884,0.538343483840534,-0.0226866297898556,3.3658104355097165,2107.003497,849.790402,151.230632315112,158.481410627584,0.80880524173511,2160.255848,191.418684,0,2,17.338262887216068,13:00:00,Not Smoky,2023,-3.4011973816621555,5.104,-1.4230396016916416,0.2564446983057831,0.27246027984292187
